ID,Mandante,Chutes,Chutes a gol,Posse de bola,Passes,Faltas,Impedimentos,Escanteios,Venceu
6093,0,11,0,36%,268,13,2,6,0
6094,1,18,0,64%,437,13,2,5,3
6094,0,6,0,36%,262,12,1,1,0
6095,1,13,0,60%,631,19,2,4,1
6095,0,9,0,40%,436,14,1,3,1
6096,1,15,4,47%,408,12,3,7,0
6096,0,7,1,53%,479,10,0,5,3
6097,1,8,0,56%,496,15,4,6,3
6097,0,11,0,44%,401,17,2,2,0
6098,1,7,0,33%,253,22,7,2,3
6098,0,13,0,67%,506,14,3,4,0
6099,1,12,0,51%,424,5,2,3,1
6099,0,18,0,49%,401,16,4,11,1
6100,1,18,0,63%,520,8,4,12,3
6100,0,10,0,37%,320,15,4,5,0
6101,1,13,0,48%,392,10,4,4,0
6101,0,12,0,52%,427,9,1,7,3
6102,1,14,0,60%,536,13,3,6,0
6102,0,8,0,40%,362,25,1,0,3
6103,1,12,0,57%,478,17,0,8,0
6103,0,8,0,43%,380,14,2,2,3
6104,1,15,0,60%,460,5,3,7,3
6104,0,5,0,40%,322,29,1,3,0
6105,1,10,0,47%,379,10,7,3,1
6105,0,21,0,53%,417,13,2,6,1
6106,1,8,0,58%,304,14,0,5,1
6106,0,9,0,42%,229,26,4,2,1
6107,1,16,0,62%,430,24,3,5,3
6107,0,17,0,38%,279,19,1,6,0
6108,1,20,0,56%,428,8,6,13,3
6108,0,12,0,44%,344,22,0,7,0
6109,1,25,11,68%,564,6,1,7,1
6109,0,6,3,32%,283,13,0,2,1
6110,1,14,0,39%,267,16,2,4,0
6110,0,14,0,61%,425,18,0,4,3
6111,1,12,0,54%,504,8,1,4,3
6111,0,8,0,46%,457,14,1,3,0
6112,1,12,0,49%,485,11,7,1,3
6112,0,14,0,51%,476,9,0,7,0
6113,1,10,0,41%,351,19,4,6,3
6113,0,10,0,59%,502,17,1,7,0
6114,1,12,0,46%,425,10,1,4,1
6114,0,9,0,54%,482,12,0,4,1
6115,1,16,0,58%,414,14,9,9,1
6115,0,13,0,42%,314,13,1,9,1
6116,1,17,0,51%,381,10,4,2,0
6116,0,15,0,49%,384,20,2,3,3
6117,1,14,0,62%,526,9,2,5,3
6117,0,6,0,38%,323,16,1,4,0
6118,1,12,0,48%,377,13,0,3,3
6118,0,15,0,52%,394,12,2,11,0
6119,1,21,6,48%,452,16,1,3,1
6119,0,11,3,52%,473,18,0,6,1
6120,1,14,0,64%,433,7,2,16,3
6120,0,14,0,36%,265,16,1,3,0
6121,1,13,0,52%,473,10,1,7,0
6121,0,6,0,48%,452,11,3,3,3
6122,1,12,0,50%,375,14,1,12,3
6122,0,7,0,50%,406,16,3,4,0
6123,1,13,0,58%,505,11,4,10,3
6123,0,7,0,42%,376,13,7,3,0
6124,1,12,0,49%,362,22,4,3,0
6124,0,11,0,51%,373,15,3,2,3
6125,1,19,6,46%,371,15,6,13,3
6125,0,10,5,54%,443,12,1,3,0
6126,1,12,0,61%,506,4,2,8,3
6126,0,16,0,39%,324,12,3,7,0
6127,1,13,0,40%,344,18,2,8,3
6127,0,9,0,60%,503,14,3,2,0
6128,1,14,0,52%,408,16,2,6,3
6128,0,18,0,48%,371,27,1,5,0
6129,1,6,0,32%,255,18,1,2,3
6129,0,6,0,68%,535,10,7,10,0
6130,1,16,0,60%,564,8,6,3,3
6130,0,10,0,40%,394,11,5,4,0
6131,1,11,0,46%,432,17,1,4,0
6131,0,10,0,54%,501,8,3,2,3
6132,1,8,0,63%,580,14,1,3,3
6132,0,11,0,37%,337,11,4,3,0
6133,1,22,0,58%,478,21,1,13,3
6133,0,14,0,42%,353,21,0,2,0
6134,1,16,0,48%,428,15,4,2,3
6134,0,8,0,52%,472,17,2,3,0
6135,1,13,0,40%,322,13,2,6,3
6135,0,12,0,60%,469,8,3,7,0
6136,1,13,0,48%,375,16,6,6,3
6136,0,13,0,52%,404,11,1,6,0
6137,1,17,0,46%,468,5,0,5,3
6137,0,11,0,54%,522,12,2,5,0
6138,1,10,0,46%,395,17,1,1,3
6138,0,16,0,54%,443,20,1,4,0
6139,1,8,0,52%,442,7,1,1,1
6139,0,9,0,48%,424,21,1,3,1
6140,1,12,0,59%,454,22,4,5,3
6140,0,6,0,41%,333,17,2,4,0
6141,1,19,0,68%,508,12,2,14,3
6141,0,7,0,32%,261,12,0,4,0
6142,1,18,0,54%,424,10,1,6,1
6142,0,5,0,46%,370,18,1,4,1
6143,1,6,0,38%,382,12,3,5,1
6143,0,14,0,62%,605,12,1,7,1
6144,1,14,0,60%,492,18,3,7,1
6144,0,7,0,40%,333,16,2,4,1
6145,1,13,0,37%,293,16,4,5,0
6145,0,11,0,63%,500,14,2,9,3
6146,1,11,0,46%,452,5,5,6,0
6146,0,19,0,54%,537,11,0,4,3
6147,1,12,0,62%,549,9,4,8,0
6147,0,9,0,38%,346,20,3,5,3
6148,1,7,0,41%,462,13,0,1,0
6148,0,17,0,59%,654,12,2,2,3
6149,1,19,0,53%,506,12,1,1,1
6149,0,9,0,47%,464,22,1,5,1
6150,1,19,0,52%,422,18,1,7,3
6150,0,8,0,48%,396,17,6,2,0
6151,1,12,0,54%,462,17,7,9,3
6151,0,10,0,46%,404,12,0,5,0
6152,1,12,0,41%,365,8,0,5,0
6152,0,10,0,59%,529,7,3,8,3
6153,1,9,0,60%,563,17,2,3,3
6153,0,8,0,40%,385,19,5,2,0
6154,1,14,0,41%,374,7,1,7,0
6154,0,8,0,59%,546,8,1,5,3
6155,1,13,0,52%,337,11,2,7,3
6155,0,11,0,48%,325,21,0,10,0
6156,1,18,0,57%,430,12,2,11,0
6156,0,12,0,43%,329,11,1,2,3
6157,1,14,0,48%,475,12,0,8,3
6157,0,10,0,52%,507,10,4,2,0
6158,1,8,0,47%,453,6,1,3,3
6158,0,11,0,53%,478,13,3,8,0
6159,1,15,0,39%,297,10,5,6,0
6159,0,8,0,61%,454,15,1,5,3
6160,1,11,0,44%,406,13,2,4,3
6160,0,13,0,56%,503,19,0,4,0
6161,1,21,0,62%,590,16,0,6,3
6161,0,7,0,38%,372,12,0,3,0
6162,1,14,0,48%,391,12,2,6,1
6162,0,5,0,52%,419,12,1,2,1
6163,1,11,0,59%,506,10,5,6,3
6163,0,12,0,41%,351,17,3,4,0
6164,1,14,0,39%,280,15,4,6,0
6164,0,13,0,61%,433,14,1,7,3
6165,1,16,0,60%,535,7,7,13,3
6165,0,8,0,40%,394,15,1,1,0
6166,1,22,0,64%,537,17,0,11,0
6166,0,3,0,36%,315,13,1,2,3
6167,1,23,0,59%,456,12,1,10,0
6167,0,9,0,41%,322,11,2,2,3
6168,1,8,0,63%,456,17,4,6,3
6168,0,7,0,37%,283,19,3,2,0
6169,1,16,0,53%,447,18,5,2,3
6169,0,10,0,47%,397,14,3,10,0
6170,1,8,0,44%,392,12,4,2,3
6170,0,16,0,56%,467,15,2,6,0
6171,1,21,0,39%,323,12,1,7,3
6171,0,6,0,61%,506,11,1,4,0
6172,1,8,0,63%,540,18,1,6,1
6172,0,10,0,37%,315,12,4,5,1
6173,1,20,0,67%,554,7,1,6,1
6173,0,9,0,33%,263,16,0,3,1
6174,1,9,0,41%,356,20,2,2,1
6174,0,12,0,59%,523,18,0,2,1
6175,1,21,0,54%,451,11,1,8,3
6175,0,8,0,46%,397,14,1,2,0
6176,1,20,0,56%,439,14,2,7,3
6176,0,10,0,44%,350,13,4,1,0
6177,1,9,0,44%,301,24,3,2,3
6177,0,14,0,56%,374,10,3,5,0
6178,1,15,0,46%,408,9,4,2,0
6178,0,7,0,54%,468,12,8,3,3
6179,1,16,0,58%,375,15,0,9,1
6179,0,8,0,42%,287,17,2,2,1
6180,1,17,0,57%,582,6,7,13,3
6180,0,8,0,43%,462,8,0,4,0
6181,1,15,0,62%,508,16,1,8,0
6181,0,8,0,38%,311,19,3,9,3
6182,1,20,0,47%,362,5,2,7,1
6182,0,18,0,53%,442,17,1,2,1
6183,1,11,0,54%,461,7,10,5,1
6183,0,8,0,46%,405,18,0,5,1
6184,1,21,0,58%,416,10,1,13,3
6184,0,13,0,42%,315,19,3,8,0
6185,1,9,0,48%,372,15,3,1,0
6185,0,12,0,52%,373,16,1,10,3
6186,1,14,0,43%,330,11,0,11,0
6186,0,8,0,57%,448,6,1,4,3
6187,1,8,0,56%,446,14,8,8,3
6187,0,18,0,44%,363,21,5,4,0
6188,1,13,0,50%,481,4,7,7,3
6188,0,10,0,50%,482,12,2,6,0
6189,1,10,0,49%,428,16,4,5,3
6189,0,11,0,51%,457,14,0,2,0
6190,1,14,0,49%,521,6,2,3,3
6190,0,15,0,51%,550,6,7,4,0
6191,1,20,0,60%,552,7,0,3,3
6191,0,11,0,40%,357,15,9,4,0
6192,1,12,0,45%,399,16,3,4,1
6192,0,9,0,55%,484,13,1,4,1
6193,1,11,0,64%,509,4,2,11,1
6193,0,11,0,36%,301,13,3,7,1
6194,1,7,0,49%,457,15,3,6,1
6194,0,11,0,51%,473,17,5,6,1
6195,1,17,0,61%,459,11,3,9,1
6195,0,14,0,39%,297,19,1,7,1
6196,1,26,0,55%,443,17,2,9,0
6196,0,10,0,45%,395,14,0,3,3
6197,1,16,0,51%,433,13,2,5,3
6197,0,9,0,49%,442,18,2,4,0
6198,1,12,0,44%,303,19,1,4,3
6198,0,19,0,56%,388,18,1,5,0
6199,1,3,0,51%,393,22,2,10,3
6199,0,8,0,49%,392,9,0,4,0
6200,1,13,0,30%,221,14,2,6,3
6200,0,13,0,70%,526,12,3,9,0
6201,1,12,0,51%,453,12,1,5,1
6201,0,8,0,49%,447,15,3,5,1
6202,1,13,0,37%,347,8,3,2,1
6202,0,8,0,63%,568,11,0,6,1
6203,1,19,0,59%,503,13,7,8,1
6203,0,10,0,41%,354,16,4,5,1
6204,1,8,0,49%,331,20,0,5,1
6204,0,10,0,51%,321,13,2,7,1
6205,1,20,0,60%,440,17,2,9,1
6205,0,15,0,40%,301,21,3,9,1
6206,1,16,0,53%,516,6,4,7,3
6206,0,8,0,47%,491,11,0,2,0
6207,1,17,0,48%,415,21,4,5,3
6207,0,13,0,52%,446,18,4,7,0
6208,1,16,0,57%,553,16,1,4,3
6208,0,12,0,43%,417,12,1,5,0
6209,1,10,0,41%,337,17,0,3,1
6209,0,16,0,59%,457,16,0,4,1
6210,1,17,0,55%,507,6,0,12,3
6210,0,2,0,45%,450,16,0,1,0
6211,1,15,0,57%,491,11,2,9,3
6211,0,10,0,43%,391,8,4,4,0
6212,1,9,0,45%,402,14,0,3,3
6212,0,9,0,55%,475,11,1,8,0
6213,1,9,0,47%,390,10,1,7,3
6213,0,9,0,53%,458,16,1,4,0
6214,1,17,0,60%,465,20,0,8,3
6214,0,8,0,40%,315,14,0,8,0
6215,1,21,0,52%,370,12,8,6,0
6215,0,8,0,48%,343,22,0,6,3
6216,1,15,0,52%,376,18,1,6,0
6216,0,7,0,48%,356,18,0,6,3
6217,1,24,0,60%,563,10,1,12,3
6217,0,9,0,40%,413,12,2,3,0
6218,1,14,0,33%,298,10,0,8,3
6218,0,8,0,67%,627,10,3,9,0
6219,1,14,0,63%,539,13,3,4,1
6219,0,4,0,37%,318,6,1,1,1
6220,1,13,0,63%,502,10,2,11,0
6220,0,8,0,37%,307,13,3,4,3
6221,1,20,0,56%,389,12,1,7,0
6221,0,13,0,44%,323,19,0,3,3
6222,1,5,0,66%,636,4,0,7,1
6222,0,14,0,34%,339,4,1,8,1
6223,1,11,0,55%,476,14,3,5,1
6223,0,9,0,45%,391,22,0,6,1
6224,1,11,0,47%,481,7,1,3,3
6224,0,12,0,53%,542,16,2,1,0
6225,1,13,0,36%,313,12,1,3,0
6225,0,12,0,64%,538,8,2,7,3
6226,1,13,0,36%,282,15,5,8,3
6226,0,10,0,64%,546,8,1,0,0
6227,1,19,0,58%,442,14,1,3,3
6227,0,5,0,42%,330,18,1,2,0
6228,1,17,0,69%,619,10,2,10,3
6228,0,11,0,31%,282,18,1,4,0
6229,1,12,0,38%,300,18,0,3,3
6229,0,21,0,62%,466,15,4,6,0
6230,1,9,0,41%,284,19,8,8,3
6230,0,10,0,59%,429,13,1,6,0
6231,1,13,0,51%,406,16,2,4,3
6231,0,5,0,49%,407,13,4,2,0
6232,1,17,0,59%,538,14,1,7,1
6232,0,16,0,41%,364,12,1,2,1
6233,1,25,0,58%,587,12,3,6,3
6233,0,3,0,42%,437,13,1,1,0
6234,1,18,0,56%,472,13,5,7,3
6234,0,11,0,44%,386,12,2,2,0
6235,1,16,0,39%,387,12,0,3,3
6235,0,12,0,61%,590,7,6,6,0
6236,1,9,0,46%,374,19,0,5,3
6236,0,11,0,54%,447,17,2,0,0
6237,1,22,0,44%,277,25,2,10,3
6237,0,9,0,56%,364,15,2,5,0
6238,1,15,0,47%,430,10,0,8,3
6238,0,8,0,53%,491,12,2,0,0
6239,1,11,4,46%,320,26,3,3,0
6239,0,20,8,54%,379,15,5,4,3
6240,1,17,0,62%,490,11,3,7,3
6240,0,12,0,38%,313,19,0,1,0
6241,1,16,0,47%,496,16,2,3,1
6241,0,20,0,53%,551,11,1,7,1
6242,1,12,0,49%,385,13,2,7,0
6242,0,11,0,51%,399,15,1,6,3
6243,1,12,2,43%,372,23,0,0,3
6243,0,13,5,57%,484,16,0,6,0
6244,1,19,0,64%,509,12,0,6,3
6244,0,10,0,36%,284,13,2,3,0
6245,1,14,0,36%,290,14,2,5,0
6245,0,14,0,64%,516,12,1,8,3
6246,1,12,0,48%,388,14,4,7,0
6246,0,15,0,52%,429,11,1,5,3
6247,1,12,0,38%,351,6,3,4,3
6247,0,12,0,62%,575,19,2,6,0
6248,1,15,0,57%,465,9,3,3,0
6248,0,8,0,43%,360,18,1,1,3
6249,1,14,0,53%,505,17,1,4,1
6249,0,6,0,47%,469,12,1,2,1
6250,1,21,0,47%,359,23,0,8,1
6250,0,8,0,53%,407,14,5,8,1
6251,1,7,0,48%,414,16,2,3,0
6251,0,12,0,52%,452,14,3,4,3
6252,1,20,0,51%,344,18,10,10,3
6252,0,14,0,49%,368,16,1,2,0
6253,1,14,8,60%,520,12,0,8,0
6253,0,11,2,40%,345,11,6,3,3
6254,1,8,0,46%,383,19,1,5,3
6254,0,17,0,54%,440,22,1,6,0
6255,1,8,0,63%,588,14,3,2,3
6255,0,14,0,37%,345,18,1,5,0
6256,1,9,0,40%,350,11,1,3,3
6256,0,14,0,60%,510,14,2,7,0
6257,1,10,0,39%,345,22,2,2,0
6257,0,5,0,61%,549,10,4,6,3
6258,1,14,0,65%,572,14,3,9,3
6258,0,6,0,35%,330,9,1,4,0
6259,1,13,0,51%,430,16,1,4,1
6259,0,13,0,49%,420,12,2,9,1
6260,1,18,0,77%,539,15,5,4,0
6260,0,7,0,23%,169,17,2,2,3
6261,1,15,0,47%,416,19,1,5,3
6261,0,4,0,53%,463,16,5,5,0
6262,1,15,0,53%,464,10,0,7,1
6262,0,5,0,47%,420,10,1,3,1
6263,1,16,0,49%,312,20,2,11,1
6263,0,7,0,51%,351,14,2,1,1
6264,1,15,0,64%,507,9,1,9,1
6264,0,8,0,36%,294,17,1,11,1
6265,1,12,0,56%,517,9,0,7,0
6265,0,12,0,44%,448,9,3,1,3
6266,1,12,0,52%,363,19,1,4,3
6266,0,10,0,48%,365,22,3,1,0
6267,1,16,0,54%,476,15,5,4,0
6267,0,5,0,46%,420,15,1,3,3
6268,1,7,0,53%,437,13,2,5,3
6268,0,20,0,47%,402,24,0,9,0
6269,1,18,0,74%,690,15,3,5,1
6269,0,9,0,26%,248,12,0,3,1
6270,1,14,0,51%,403,7,2,10,1
6270,0,12,0,49%,407,9,1,6,1
6271,1,9,3,53%,426,11,1,3,1
6271,0,16,5,47%,376,24,2,7,1
6272,1,14,0,56%,604,7,0,4,3
6272,0,15,0,44%,473,6,2,6,0
6273,1,11,0,62%,587,17,3,5,3
6273,0,11,0,38%,369,16,2,2,0
6274,1,8,0,46%,367,21,2,3,3
6274,0,7,0,54%,426,23,0,3,0
6275,1,15,0,48%,431,11,2,2,0
6275,0,11,0,52%,462,9,3,2,3
6276,1,10,0,47%,406,20,0,2,1
6276,0,12,0,53%,438,23,0,4,1
6277,1,9,0,55%,361,13,2,2,3
6277,0,7,0,45%,305,10,3,6,0
6278,1,10,0,46%,360,18,1,3,3
6278,0,10,0,54%,412,10,2,7,0
6279,1,19,0,40%,382,8,0,6,0
6279,0,10,0,60%,591,6,1,5,3
6280,1,25,0,62%,514,13,0,4,3
6280,0,7,0,38%,322,26,0,3,0
6281,1,15,0,53%,424,19,3,4,1
6281,0,4,0,47%,382,18,5,4,1
6282,1,12,0,35%,278,17,4,3,3
6282,0,16,0,65%,499,16,3,9,0
6283,1,13,0,65%,581,18,2,2,3
6283,0,12,0,35%,326,19,2,3,0
6284,1,13,0,69%,595,10,2,8,0
6284,0,7,0,31%,267,17,3,6,3
6285,1,13,0,49%,429,13,1,3,3
6285,0,9,0,51%,440,12,3,7,0
6286,1,16,0,38%,333,22,1,2,0
6286,0,20,0,62%,531,15,0,10,3
6287,1,12,0,52%,473,11,1,6,3
6287,0,14,0,48%,460,13,0,4,0
6288,1,6,2,57%,440,19,1,3,3
6288,0,13,3,43%,336,17,0,2,0
6289,1,14,0,44%,351,18,4,6,1
6289,0,17,0,56%,423,20,2,13,1
6290,1,15,0,33%,262,19,3,5,1
6290,0,7,0,67%,555,11,6,3,1
6291,1,12,0,53%,437,15,0,11,0
6291,0,10,0,47%,398,4,2,11,3
6292,1,7,0,63%,362,16,0,6,0
6292,0,10,0,37%,217,23,0,1,3
6293,1,16,0,48%,423,13,1,7,3
6293,0,5,0,52%,488,5,1,2,0
6294,1,13,0,44%,348,15,4,5,0
6294,0,14,0,56%,425,12,1,6,3
6295,1,9,2,51%,392,14,3,5,0
6295,0,12,9,49%,372,19,0,6,3
6296,1,9,0,49%,449,12,0,11,3
6296,0,8,0,51%,489,11,2,1,0
6297,1,13,0,44%,477,7,2,1,1
6297,0,16,0,56%,592,11,1,3,1
6298,1,7,0,59%,474,12,2,6,0
6298,0,8,0,41%,354,14,2,3,3
6299,1,17,0,73%,627,12,2,10,1
6299,0,8,0,27%,245,21,3,0,1
6300,1,9,0,53%,415,22,2,5,3
6300,0,8,0,47%,368,22,0,5,0
6301,1,14,0,41%,284,22,2,9,3
6301,0,9,0,59%,432,17,1,2,0
6302,1,9,0,40%,348,14,2,5,3
6302,0,10,0,60%,498,14,1,7,0
6303,1,14,0,45%,379,16,0,6,3
6303,0,11,0,55%,438,16,4,6,0
6304,1,12,0,38%,294,17,3,9,3
6304,0,11,0,62%,490,19,2,5,0
6305,1,14,0,57%,464,8,2,9,3
6305,0,6,0,43%,357,10,3,6,0
6306,1,9,0,38%,260,19,1,5,0
6306,0,9,0,62%,407,23,2,5,3
6307,1,18,0,55%,416,15,2,3,3
6307,0,5,0,45%,364,12,2,6,0
6308,1,12,0,45%,379,6,2,3,3
6308,0,7,0,55%,437,12,0,8,0
6309,1,14,0,44%,372,13,4,2,3
6309,0,13,0,56%,477,10,2,5,0
6310,1,7,0,52%,437,27,0,0,3
6310,0,14,0,48%,405,15,2,4,0
6311,1,14,0,54%,538,13,2,3,1
6311,0,13,0,46%,426,12,0,8,1
6312,1,15,0,43%,369,19,2,5,1
6312,0,12,0,57%,498,8,5,5,1
6313,1,14,0,56%,402,13,2,7,0
6313,0,9,0,44%,315,17,0,3,3
6314,1,12,0,53%,385,21,3,9,3
6314,0,14,0,47%,367,14,0,4,0
6315,1,7,0,49%,458,13,0,3,0
6315,0,16,0,51%,446,13,3,6,3
6316,1,19,0,66%,488,16,0,13,3
6316,0,8,0,34%,278,18,4,2,0
6317,1,18,0,61%,490,8,3,5,3
6317,0,11,0,39%,324,17,1,6,0
6318,1,9,0,46%,374,17,2,4,0
6318,0,15,0,54%,414,8,1,6,3
6319,1,14,0,48%,307,26,2,4,0
6319,0,7,0,52%,334,21,0,5,3
6320,1,14,0,49%,412,6,4,9,3
6320,0,10,0,51%,443,11,0,1,0
6321,1,21,0,51%,376,16,3,8,3
6321,0,9,0,49%,382,11,1,4,0
6322,1,11,0,58%,464,12,4,4,1
6322,0,8,0,42%,342,16,1,0,1
6323,1,10,0,42%,320,17,6,8,1
6323,0,13,0,58%,445,15,1,7,1
6324,1,18,0,46%,436,9,4,3,1
6324,0,3,0,54%,526,15,0,5,1
6325,1,14,0,41%,289,18,2,6,3
6325,0,8,0,59%,444,18,5,3,0
6326,1,13,0,48%,314,17,0,2,0
6326,0,10,0,52%,336,17,2,7,3
6327,1,19,0,62%,423,15,0,4,3
6327,0,13,0,38%,267,11,3,5,0
6328,1,21,0,70%,478,17,8,9,3
6328,0,4,0,30%,217,27,0,2,0
6329,1,19,0,54%,442,24,9,6,1
6329,0,11,0,46%,386,12,0,4,1
6330,1,5,0,51%,384,20,3,0,3
6330,0,19,0,49%,365,7,5,11,0
6331,1,20,0,59%,488,14,3,5,3
6331,0,6,0,41%,352,11,2,3,0
6332,1,15,0,33%,228,14,1,4,3
6332,0,11,0,67%,479,10,2,3,0
6333,1,7,3,42%,340,16,1,3,3
6333,0,10,1,58%,462,21,2,5,0
6334,1,13,0,42%,293,23,0,4,0
6334,0,13,0,58%,407,16,4,4,3
6335,1,16,0,59%,404,18,1,8,3
6335,0,9,0,41%,306,17,0,6,0
6336,1,13,0,59%,517,8,2,9,1
6336,0,7,0,41%,375,16,1,0,1
6337,1,12,0,57%,388,16,2,8,3
6337,0,10,0,43%,306,19,1,0,0
6338,1,17,0,63%,620,9,3,6,3
6338,0,13,0,37%,367,10,6,4,0
6339,1,14,0,49%,462,14,0,9,3
6339,0,12,0,51%,474,4,1,11,0
6340,1,14,0,45%,280,24,4,5,0
6340,0,14,0,55%,348,16,2,3,3
6341,1,11,0,54%,379,14,2,1,1
6341,0,17,0,46%,330,29,1,5,1
6342,1,17,0,48%,401,11,3,4,0
6342,0,16,0,52%,427,16,2,7,3
6343,1,15,0,57%,489,17,2,5,0
6343,0,21,0,43%,369,13,1,3,3
6344,1,11,0,56%,470,11,5,7,3
6344,0,12,0,44%,389,12,1,5,0
6345,1,21,8,49%,426,13,1,7,0
6345,0,6,0,51%,430,14,0,3,3
6346,1,17,0,63%,459,19,0,5,3
6346,0,8,0,37%,286,24,0,1,0
6347,1,17,10,46%,369,30,2,6,3
6347,0,9,3,54%,428,27,2,2,0
6348,1,16,0,61%,559,9,4,3,3
6348,0,10,0,39%,374,8,1,1,0
6349,1,11,0,44%,429,13,1,4,1
6349,0,7,0,56%,545,8,1,7,1
6350,1,16,0,38%,281,24,3,4,0
6350,0,8,0,62%,485,20,1,4,3
6351,1,20,9,54%,478,4,2,7,3
6351,0,12,4,46%,427,21,1,5,0
6352,1,15,0,62%,461,11,5,4,0
6352,0,9,0,38%,279,18,1,4,3
6353,1,14,0,53%,452,15,1,11,1
6353,0,9,0,47%,433,9,1,1,1
6354,1,10,0,53%,397,17,1,2,1
6354,0,12,0,47%,367,16,1,4,1
6355,1,20,0,53%,454,12,4,3,3
